asset,hz,thr_bps,pca_dim,k,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm,bh_q,above_null_p95,above_null_p99
eth,15s,15,600,10,1.239,0.1988,1.053,1.55,1.891,1000,0.34726956521739133,False,False
eth,15s,20,600,10,1.226,0.041,1.056,1.214,1.31,1000,0.13608510638297872,True,False
eth,15s,30,600,10,1.465,0.1239,1.168,1.732,2.171,1000,0.2611945945945946,False,False
eth,15s,40,600,10,2.411,0.009,1.318,1.839,2.34,1000,0.0460327868852459,True,True
eth,1s,10,600,10,0.909,0.9241,0.976,1.126,1.222,1000,0.9514973684210526,False,False
eth,1s,15,600,6,1.03,0.5455,1.041,1.328,1.567,1000,0.6446818181818181,False,False
eth,30s,10,600,10,1.005,0.6743,1.018,1.213,1.324,1000,0.7355999999999999,False,False
eth,30s,15,600,10,1.043,0.4715,1.035,1.423,1.582,1000,0.5884320000000001,False,False
eth,30s,20,600,10,1.17,0.3546,1.102,1.714,2.257,1000,0.49402270742358073,False,False
eth,30s,30,600,10,1.383,0.2278,1.154,2.02,2.665,1000,0.3780510638297872,False,False
eth,30s,40,600,10,1.056,0.9321,1.19,1.737,2.29,1000,0.9534924590163935,False,False
eth,5s,10,600,10,1.354,0.1888,1.093,1.813,2.422,1000,0.34726956521739133,False,False
eth,5s,15,600,10,1.193,0.2837,1.129,1.418,1.579,1000,0.4296815533980583,False,False
eth,5s,20,600,10,1.226,0.2028,1.16,1.318,1.426,1000,0.34726956521739133,False,False
btc,15s,10,600,6,1.143,0.0949,0.846,1.217,1.289,1000,0.21612262773722626,False,False
btc,15s,15,600,6,1.558,0.009,1.337,1.454,1.54,1000,0.0460327868852459,True,True
btc,15s,20,600,6,2.932,0.027,1.546,2.456,3.639,1000,0.10529999999999999,True,False
btc,15s,30,600,6,2.722,0.0839,1.774,3.061,3.966,1000,0.20292093023255814,False,False
btc,30s,10,600,6,0.978,0.0539,0.913,0.981,1.089,1000,0.16487058823529413,False,False
btc,30s,15,600,6,0.957,0.1518,0.893,1.064,1.2,1000,0.3036,False,False
btc,30s,20,600,6,1.346,0.01,0.918,1.155,1.324,1000,0.049523809523809526,True,True
btc,30s,30,600,6,1.331,0.3027,1.143,1.953,2.611,1000,0.4433915492957747,False,False
btc,30s,40,600,6,5.715,0.001,1.041,2.291,3.265,1000,0.008432432432432432,True,True
btc,5s,10,600,6,1.374,0.2268,1.051,2.024,2.56,1000,0.3780510638297872,False,False
btc,5s,15,600,6,0.767,0.5914,0.779,1.52,1.741,1000,0.6758857142857143,False,False
eth,15s,10,600,6,1.314,0.033,0.903,1.245,1.387,1000,0.11568539325842699,True,False
eth,15s,15,600,6,1.035,0.3956,0.935,1.688,2.137,1000,0.5274666666666666,False,False
eth,15s,20,600,6,0.999,0.0939,0.827,1.199,1.303,1000,0.21541764705882352,False,False
eth,15s,30,600,6,1.844,0.0969,1.082,2.206,3.03,1000,0.2175021582733813,False,False
eth,15s,40,600,6,8.854,0.001,1.498,2.653,3.42,1000,0.008432432432432432,True,True
